2026-02-03 13:41:00.835 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:04.242 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:07.458 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:10.795 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:15.126 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:18.433 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:22.092 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:25.656 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:29.489 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:32.902 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:36.147 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:39.440 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:43.606 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:47.285 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:50.751 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:54.104 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:41:57.434 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:01.105 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:05.039 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:08.215 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:12.265 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:16.031 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:19.684 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:23.031 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:26.595 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:30.413 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:34.270 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:38.552 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:41.803 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:46.187 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:50.446 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:54.732 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:42:59.048 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:03.316 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:06.496 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:10.945 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:15.027 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:18.067 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:22.266 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:26.428 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:30.889 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:33.994 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:37.135 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:40.442 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:44.189 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:48.555 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:52.683 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:56.388 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:43:59.673 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:03.876 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:06.955 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:10.858 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:15.087 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:18.979 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:22.757 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:26.401 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:30.046 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:34.094 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:37.148 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:41.531 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:45.757 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:50.201 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:54.148 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:44:58.593 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:02.105 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:05.792 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:09.412 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:13.715 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:17.087 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:21.500 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:24.785 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:28.697 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:32.648 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:36.931 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:40.253 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:43.690 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:48.001 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:51.229 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:45:54.635 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
